type,beta,delta,p,c,gamma,roh,alpha,SSR
bootstrap_75,1e-08,0.042492046697734896,156.0,458.968683644854,0.0002671420188770523,10.0,9.150771817620305,85.51443767687296
bootstrap_76,1e-08,0.044686151238631996,156.0,498.0959199740636,0.00027146526702025446,10.0,9.087258571572864,94.8878554777666
bootstrap_77,1e-08,0.033232799114705815,156.0,489.32071877834863,0.00027066923135896147,10.0,10.532382205463163,94.69964258550701
bootstrap_78,1e-08,0.044686151238631996,156.0,498.0959199740636,0.00027146526702025446,10.0,9.087258571572864,87.34834375254106
bootstrap_79,1e-08,0.05757697221420191,156.0,499.9808459395655,0.000637244681081318,10.0,10.530612366739668,93.12552557364805
bootstrap_80,1e-08,0.043424790401036,156.0,496.4057910864281,0.0002712515028103189,10.0,9.134296470639773,93.29559054496433
bootstrap_81,1e-08,0.06019853445136908,156.0,500.0,0.000656808392401172,10.0,10.532384037243723,95.14030885344877
bootstrap_82,1e-08,0.045169749203972175,156.0,497.0776566708647,0.00027152008193530194,10.0,9.12511865458346,90.92699012602438
bootstrap_83,1e-08,0.04468613482392472,156.0,498.09594945333015,0.00027146525507092383,10.0,9.087258875940366,89.12273491440264
bootstrap_84,1e-08,0.010179972313678957,156.0,464.9319565550653,0.0005797878610646822,10.0,9.9207945797938,94.60239315708105
bootstrap_85,1e-08,0.03108899565919375,156.0,499.99945919638515,0.00026944868005893125,10.0,10.53216649775593,95.62141231669857
bootstrap_86,1e-08,0.04475888032816282,156.0,498.3170247271551,0.00027143926158203647,10.0,9.089414667255376,95.84189048668823
bootstrap_87,1e-08,0.010425866916819314,156.0,447.54169647706374,0.0005633069089484588,10.0,9.812374343390466,98.36978233624242
bootstrap_88,1e-08,0.04249201642945534,156.0,458.968599645474,0.00026714201282758816,10.0,9.150771073686993,93.64881277935949
bootstrap_89,1e-08,0.0449732038266457,156.0,497.2452876818829,0.0002714670885403124,10.0,9.122492498596499,90.44071553137904
bootstrap_90,1e-08,0.045163169315508365,156.0,498.5706178037735,0.0002717080679186681,10.0,9.079136437328604,99.958159283279
bootstrap_91,1e-08,0.044669702928550006,156.0,498.5194728602785,0.00027136624031830377,10.0,9.083809539036274,96.45525451035374
bootstrap_92,1e-08,0.044111254789617485,156.0,493.49085776160956,0.00027119950966924763,10.0,9.381656116770781,96.01635031433867
bootstrap_93,1e-08,0.060485077201184734,156.0,500.0,0.0006585488017592467,10.0,10.5324,87.10725808149111
bootstrap_94,1e-08,0.04545586808443142,156.0,496.9207901747484,0.00027238541972711666,10.0,9.17324618066287,101.10726790171232
bootstrap_95,1e-08,0.06319782583612088,156.0,500.0,0.0006376745002820113,10.0,10.531496212870888,99.28550558871962
bootstrap_96,1e-08,0.0449995305575067,156.0,496.8938916353618,0.00027148373606812967,10.0,9.128487647793973,83.76616524046918
bootstrap_97,1e-08,0.0434308094117029,156.0,496.41783929021466,0.0002712563278094228,10.0,9.134081466821721,95.23880505036878
bootstrap_98,1e-08,0.0449732038266457,156.0,497.2452876818829,0.0002714670885403124,10.0,9.122492498596499,87.80084487056902
bootstrap_99,1e-08,0.030615842993574838,156.0,500.0,0.0002691088723249256,10.0,10.532263283041134,89.60888188928506
bootstrap_100,1e-08,0.043438547604281834,156.0,497.1320957895367,0.0002712205623096143,10.0,9.163518448305348,96.05993539099886
bootstrap_101,1e-08,0.06319782583612088,156.0,500.0,0.0006376745002820113,10.0,10.531496212870888,97.02742070635365
bootstrap_102,1e-08,0.044962107429900866,156.0,497.0178232513362,0.00027144058794454203,10.0,9.128634911414268,93.46256000349298
