type,beta,delta,p,c,gamma,roh,alpha,SSR
bootstrap_473,1e-08,0.8761311884189178,1192.007028330875,284.56325776353094,1.0308169513929647e-05,0.5,10.024942590079284,28.537385108135258
bootstrap_474,1e-08,0.876106266685217,1191.9462841954623,284.5542811621784,1.0308186833924092e-05,0.5,10.024913184002067,31.22536221412488
bootstrap_475,1e-08,0.8916250438527016,1166.7349921633995,289.55853982884594,1.0298793096197225e-05,0.5,10.039889128831149,29.3867087066723
bootstrap_476,1e-08,1.4572665464784622,47787.53877988415,468.18458342174404,1.0605428418898872e-05,0.49988245601889914,9.53554474922883,28.171948156673448
bootstrap_477,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,32.14082634256751
bootstrap_478,1e-08,1.4987829323071429,47907.526561663726,458.820609274271,1.063520849140515e-05,0.49995322972978784,9.489395578614603,29.0908524687595
bootstrap_479,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,29.058824140289104
bootstrap_480,1e-08,0.8761062790976009,1191.946260782931,284.5542847730402,1.0308186836170952e-05,0.5,10.02491318007013,29.807651040302137
bootstrap_481,1e-08,0.8761062790976009,1191.946260782931,284.5542847730402,1.0308186836170952e-05,0.5,10.02491318007013,30.375877149914658
bootstrap_482,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,30.14561079192313
bootstrap_483,1e-08,0.9332375163334059,1000.0,303.41233316688806,1.0558236460061365e-05,0.5,9.612461175273127,33.115799414317586
bootstrap_484,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,30.387469419524287
bootstrap_485,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,30.963310960025275
bootstrap_486,1e-08,0.935118778380663,1000.943607061532,304.03335795851734,1.0559635797664949e-05,0.5,9.61016207277048,29.94080038375992
bootstrap_487,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,32.181717089501724
bootstrap_488,1e-08,0.8916250094823241,1166.7347935518833,289.5585236605598,1.0298793300554806e-05,0.5,10.039888793903511,27.370563924169044
bootstrap_489,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,28.201605870530447
bootstrap_490,1e-08,0.9332375163334059,1000.0,303.41233316688806,1.0558236460061365e-05,0.5,9.612461175273127,30.52639350106425
bootstrap_491,1e-08,0.876106266685217,1191.9462841954623,284.5542811621784,1.0308186833924092e-05,0.5,10.024913184002067,27.907591756284834
bootstrap_492,1e-08,0.8761340148946215,1191.895997199288,284.56300100968093,1.0308247547525923e-05,0.5,10.024812528900792,30.158254359863562
bootstrap_493,1e-08,0.9332410284650944,1000.0025317790187,303.4133612403615,1.0558211001466802e-05,0.5,9.61250296867934,30.81791885617636
bootstrap_494,1e-08,1.457266245629098,47787.539463749956,468.18455225198784,1.0605428344507077e-05,0.49988245597163516,9.535544867504065,28.82523620709111
bootstrap_495,1e-08,1.3263915588337505,32679.653315527205,275.61471814661195,1.0375546519667957e-05,0.498506400268789,9.903901262471773,30.152241232325572
bootstrap_496,1e-08,0.9332370471186788,1000.0000066640214,303.4121737919714,1.0558236255427383e-05,0.5,9.612461517855461,29.808983513838083
bootstrap_497,1e-08,0.8761308269139687,1191.8955977567916,284.561928941287,1.0308245052052435e-05,0.5,10.0248166500211,33.08247551001018
bootstrap_498,1e-08,0.9332380031128564,1000.0000649774006,303.41250267899363,1.0558236879658266e-05,0.5,9.612460482793383,29.155261096119876
bootstrap_499,1e-08,0.9332375163334059,1000.0,303.41233316688806,1.0558236460061365e-05,0.5,9.612461175273127,28.382773015938568
bootstrap_500,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,28.76004666155803
bootstrap_501,1e-08,0.8761062790976009,1191.946260782931,284.5542847730402,1.0308186836170952e-05,0.5,10.02491318007013,31.560438690017502
bootstrap_502,1e-08,0.8916245165528909,1166.7349628788766,289.55835376009657,1.0298792845572056e-05,0.5,10.039889539576505,29.122460969548683
bootstrap_503,1e-08,1.4572662318997371,47787.54283046101,468.1845524911268,1.060542841325132e-05,0.4998824560440257,9.535544750963087,27.75678400665817
bootstrap_504,1e-08,0.9332375773861232,1000.0000031607328,303.4123384719679,1.0558236350293394e-05,0.5,9.612461348511665,29.607039982699202
